TransactionID,Description,Date,Year,Month,TransactionType,FuelType,Amount,BalanceAfterTransaction
1,We charged you for electricity,2026-04-10,2026,2026-04,Charge,Electricity,-48.91,-319.41
2,We charged you for gas,2026-04-10,2026,2026-04,Charge,Gas,-37.52,-270.5
3,You made a payment,2026-04-03,2026,2026-04,Payment,,330.0,-232.98
4,We charged you for electricity,2026-03-31,2026,2026-03,Charge,Electricity,-118.18,-562.98
5,We charged you for gas,2026-03-31,2026,2026-03,Charge,Gas,-115.98,-444.8
6,We charged you for gas,2026-03-13,2026,2026-03,Charge,Gas,-157.49,-328.82
7,We charged you for electricity,2026-03-10,2026,2026-03,Charge,Electricity,-177.26,-171.33
8,You made a payment,2026-03-04,2026,2026-03,Payment,,400.0,5.93
9,We charged you for electricity,2026-02-12,2026,2026-02,Charge,Electricity,-196.09,-394.07
10,We charged you for gas,2026-02-10,2026,2026-02,Charge,Gas,-199.93,-197.98
11,You made a payment,2026-01-22,2026,2026-01,Payment,,260.0,1.95
12,You made a payment,2026-01-19,2026,2026-01,Payment,,150.0,-258.05
13,We charged you for electricity,2026-01-10,2026,2026-01,Charge,Electricity,-69.46,-408.05
14,We charged you for gas,2026-01-10,2026,2026-01,Charge,Gas,-86.56,-338.59
15,We charged you for electricity,2025-12-31,2025,2025-12,Charge,Electricity,-127.02,-252.03
16,We charged you for gas,2025-12-31,2025,2025-12,Charge,Gas,-126.58,-125.01
17,You made a payment,2025-12-29,2025,2025-12,Payment,,150.0,1.57
18,You made a payment,2025-12-28,2025,2025-12,Payment,,200.0,-148.43
19,We charged you for gas,2025-12-12,2025,2025-12,Charge,Gas,-165.22,-348.43
20,We charged you for electricity,2025-12-10,2025,2025-12,Charge,Electricity,-185.25,-183.21
21,You made a payment,2025-11-20,2025,2025-11,Payment,,255.0,2.04
22,We charged you for electricity,2025-11-10,2025,2025-11,Charge,Electricity,-180.89,-252.96
23,We charged you for gas,2025-11-10,2025,2025-11,Charge,Gas,-117.62,-72.07
24,You made a payment,2025-10-25,2025,2025-10,Payment,,40.0,45.55
25,You made a payment,2025-10-20,2025,2025-10,Payment,,70.0,5.55
26,You made a payment,2025-10-17,2025,2025-10,Payment,,90.0,-64.45
27,You made a payment,2025-10-15,2025,2025-10,Payment,,100.0,-154.45
28,We charged you for electricity,2025-10-10,2025,2025-10,Charge,Electricity,-57.11,-254.45
29,We charged you for gas,2025-10-10,2025,2025-10,Charge,Gas,-29.91,-197.34
30,We charged you for electricity,2025-09-30,2025,2025-09,Charge,Electricity,-115.45,-167.43
31,We charged you for gas,2025-09-30,2025,2025-09,Charge,Gas,-52.41,-51.98
32,You made a payment,2025-09-13,2025,2025-09,Payment,,160.0,0.43
33,We charged you for electricity,2025-09-10,2025,2025-09,Charge,Electricity,-125.83,-159.57
