month,amount
2024-02,-13.309999999999997
2024-03,-194.85000000000002
2024-04,215.82999999999998
2024-05,-7.269999999999996
2024-06,-35.279999999999994
2024-07,35.33
2024-08,5.930000000000007
2024-09,-132.90000000000003
2024-10,227.34
2024-11,-91.09000000000003
2024-12,-237.08999999999997
2025-01,244.43
2025-02,-13.120000000000005
2025-03,-212.16
2025-04,214.51
2025-05,-0.1700000000000017
2025-06,-120.64999999999998
2025-07,143.26
2025-08,-15.620000000000005
2025-09,-180.55
2025-10,212.98
2025-11,-43.50999999999999
2025-12,-254.07
2026-01,253.98000000000002
2026-02,-396.02
2026-03,-168.91000000000003
2026-04,243.57
