transactionid,description,date,year,month,transactiontype,fueltype,amount,balanceaftertransaction,transaction_category
1,We charged you for electricity,10/04/2026,2026,2026-04,Charge,Electricity,-48.91,-319.41,Charge
2,We charged you for gas,10/04/2026,2026,2026-04,Charge,Gas,-37.52,-270.5,Charge
3,You made a payment,03/04/2026,2026,2026-04,Payment,,330,-232.98,Payment
4,We charged you for electricity,31/03/2026,2026,2026-03,Charge,Electricity,-118.18,-562.98,Charge
5,We charged you for gas,31/03/2026,2026,2026-03,Charge,Gas,-115.98,-444.8,Charge
6,We charged you for gas,13/03/2026,2026,2026-03,Charge,Gas,-157.49,-328.82,Charge
7,We charged you for electricity,10/03/2026,2026,2026-03,Charge,Electricity,-177.26,-171.33,Charge
8,You made a payment,04/03/2026,2026,2026-03,Payment,,400,5.93,Payment
9,We charged you for electricity,12/02/2026,2026,2026-02,Charge,Electricity,-196.09,-394.07,Charge
10,We charged you for gas,10/02/2026,2026,2026-02,Charge,Gas,-199.93,-197.98,Charge
11,You made a payment,22/01/2026,2026,2026-01,Payment,,260,1.95,Payment
12,You made a payment,19/01/2026,2026,2026-01,Payment,,150,-258.05,Payment
13,We charged you for electricity,10/01/2026,2026,2026-01,Charge,Electricity,-69.46,-408.05,Charge
14,We charged you for gas,10/01/2026,2026,2026-01,Charge,Gas,-86.56,-338.59,Charge
15,We charged you for electricity,31/12/2025,2025,2025-12,Charge,Electricity,-127.02,-252.03,Charge
16,We charged you for gas,31/12/2025,2025,2025-12,Charge,Gas,-126.58,-125.01,Charge
17,You made a payment,29/12/2025,2025,2025-12,Payment,,150,1.57,Payment
18,You made a payment,28/12/2025,2025,2025-12,Payment,,200,-148.43,Payment
19,We charged you for gas,12/12/2025,2025,2025-12,Charge,Gas,-165.22,-348.43,Charge
20,We charged you for electricity,10/12/2025,2025,2025-12,Charge,Electricity,-185.25,-183.21,Charge
21,You made a payment,20/11/2025,2025,2025-11,Payment,,255,2.04,Payment
22,We charged you for electricity,10/11/2025,2025,2025-11,Charge,Electricity,-180.89,-252.96,Charge
23,We charged you for gas,10/11/2025,2025,2025-11,Charge,Gas,-117.62,-72.07,Charge
24,You made a payment,25/10/2025,2025,2025-10,Payment,,40,45.55,Payment
25,You made a payment,20/10/2025,2025,2025-10,Payment,,70,5.55,Payment
26,You made a payment,17/10/2025,2025,2025-10,Payment,,90,-64.45,Payment
27,You made a payment,15/10/2025,2025,2025-10,Payment,,100,-154.45,Payment
28,We charged you for electricity,10/10/2025,2025,2025-10,Charge,Electricity,-57.11,-254.45,Charge
29,We charged you for gas,10/10/2025,2025,2025-10,Charge,Gas,-29.91,-197.34,Charge
30,We charged you for electricity,30/09/2025,2025,2025-09,Charge,Electricity,-115.45,-167.43,Charge
31,We charged you for gas,30/09/2025,2025,2025-09,Charge,Gas,-52.41,-51.98,Charge
32,You made a payment,13/09/2025,2025,2025-09,Payment,,160,0.43,Payment
33,We charged you for electricity,10/09/2025,2025,2025-09,Charge,Electricity,-125.83,-159.57,Charge
34,We charged you for gas,10/09/2025,2025,2025-09,Charge,Gas,-46.86,-33.74,Charge
35,You made a payment,18/08/2025,2025,2025-08,Payment,,120,13.12,Payment
36,We charged you for gas,10/08/2025,2025,2025-08,Charge,Gas,-41.51,-106.88,Charge
37,We charged you for electricity,10/08/2025,2025,2025-08,Charge,Electricity,-134.11,-65.37,Charge
38,You made a payment,10/08/2025,2025,2025-08,Payment,,40,68.74,Payment
39,You made a payment,16/07/2025,2025,2025-07,Payment,,200,28.74,Payment
40,We charged you for gas,10/07/2025,2025,2025-07,Charge,Gas,-15.32,-171.26,Charge
41,We charged you for electricity,10/07/2025,2025,2025-07,Charge,Electricity,-41.42,-155.94,Charge
42,We charged you for gas,30/06/2025,2025,2025-06,Charge,Gas,-32.81,-114.52,Charge
43,We charged you for electricity,30/06/2025,2025,2025-06,Charge,Electricity,-83.88,-81.71,Charge
44,You made a payment,19/06/2025,2025,2025-06,Payment,,200,2.17,Payment
45,We charged you for electricity,10/06/2025,2025,2025-06,Charge,Electricity,-132.89,-197.83,Charge
46,We charged you for gas,10/06/2025,2025,2025-06,Charge,Gas,-71.07,-64.94,Charge
47,You made a payment,20/05/2025,2025,2025-05,Payment,,120,6.13,Payment
48,You made a payment,14/05/2025,2025,2025-05,Payment,,120,-113.87,Payment
49,We charged you for gas,10/05/2025,2025,2025-05,Charge,Gas,-115.48,-233.87,Charge
50,We charged you for electricity,10/05/2025,2025,2025-05,Charge,Electricity,-124.69,-118.39,Charge
51,You made a payment,20/04/2025,2025,2025-04,Payment,,160,6.3,Payment
52,You made a payment,13/04/2025,2025,2025-04,Payment,,150,-153.7,Payment
53,We charged you for electricity,10/04/2025,2025,2025-04,Charge,Electricity,-43.24,-303.7,Charge
