Month,Charges,Payments
2024-02,-79.78,66.47
2024-03,-364.85,170.0
2024-04,-74.17,290.0
2024-05,-228.63,221.36
2024-06,-205.28,170.0
2024-07,-124.67,160.0
2024-08,-144.07,150.0
2024-09,-282.9,150.0
2024-10,-72.66,300.0
2024-11,-271.09,180.0
2024-12,-577.09,340.0
2025-01,-125.57,370.0
2025-02,-393.12,380.0
2025-03,-522.16,310.0
2025-04,-95.49,310.0
2025-05,-240.17,240.0
2025-06,-320.65,200.0
2025-07,-56.74,200.0
2025-08,-175.62,160.0
2025-09,-340.55,160.0
2025-10,-87.02,300.0
2025-11,-298.51,255.0
2025-12,-604.07,350.0
2026-01,-156.02,410.0
2026-02,-396.02,0
2026-03,-568.91,400.0
2026-04,-86.43,330.0
